E0AD6E22	Slovakia	FinFireWire	2011-03-07 01:00:00	2013-07-31 02:00:00		13080	
E0AD6E22	Slovakia	FinFly LAN	2011-01-28 01:00:00	2013-07-31 02:00:00		32580	
E0AD6E22	Slovakia	FinSpy	2010-01-31 01:00:00	2013-07-31 02:00:00	Base license + 50 targets + 2 agents	397800	Yes
E0AD6E22	Slovakia	FinSpy	2010-01-31 01:00:00	2013-07-31 02:00:00	Base license + 50 targets + 2 agents	397800	Yes
E0AD6E22	Slovakia	FinUSB Suite	2011-03-07 01:00:00	2013-07-31 02:00:00		13080	
E0AD6E22	Slovakia	FinSpy	2010-01-31 01:00:00	2013-12-31 01:00:00	Base license + 50 targets + 2 agents	397800	
E0AD6E22	Slovakia	FinSpy	2010-01-31 01:00:00	2013-12-31 01:00:00	Base license + 50 targets + 2 agents	397800	
E0AD6E22	Slovakia	FinSpy Mobile	1970-01-01 01:00:00	1970-01-01 01:00:00	Base license + 15 mobile targets + 1 agents	249300	
E5C0C644		FinFly LAN	2010-08-03 00:00:00	2011-08-05 00:00:00		32580	
E5C0C644		FinSpy	2010-03-14 00:00:00	2011-02-28 00:00:00	Base license + 100 targets + 7 agents	571800	Yes
E5C0C644		FinFly USB	2010-03-14 00:00:00	2011-02-28 00:00:00		4620	Yes
E5C0C644		FinFly ISP	2011-01-17 00:00:00	2011-12-31 00:00:00			Yes
E5C0C644		FinSpy	2010-03-14 01:00:00	2013-05-31 02:00:00	Base license + 110 targets + 7 agents	595200	Yes
E5C0C644		FinFly USB	2010-03-14 01:00:00	2013-05-31 02:00:00		4620	
E5C0C644		FinFly ISP	2011-01-17 01:00:00	2013-05-31 02:00:00			
E5C0C644		FinFireWire	2011-06-28 02:00:00	2012-06-29 02:00:00		13080	
E5C0C644		FinUSB Suite	2011-06-25 02:00:00	2012-06-26 02:00:00		13080	
E5C0C644		FinFly Web	2011-01-17 01:00:00	2013-05-31 02:00:00		36600	Yes
E5C0C644		FinFly Web	2011-06-27 02:00:00	2013-05-31 02:00:00		36600	Yes
E5C0C644		FinFly Web	2011-06-27 02:00:00	2014-07-11 02:00:00		36600	
E5C0C644		FinSpy	2010-03-14 01:00:00	2014-07-11 02:00:00	Base license + 110 targets + 7 agents	595200	
E5C0C644		FinSpy Mobile	2013-08-11 02:00:00	2014-08-22 02:00:00	Base license + 110 targets + 30 mobile targets + 7 agents	665400	
E5C0C644		FinFly ISP	2014-06-18 02:00:00	2015-06-30 02:00:00			
7678CCD6		FinUSB Suite	2009-10-08 00:00:00	2011-06-08 00:00:00		13080	Yes
7678CCD6		FinIntrusion Kit	2009-10-08 00:00:00	2011-06-08 00:00:00		30600	Yes
